country_code,currency_code,full_price,gender,image_url,item_url,price,product_category,product_code,product_name,product_subcategory
GBR,GBP,830,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/d6f2dcac-7449-40b0-9ba1-095b207013a3/ihqstx/std/500x0/OPEN-SKATE-CALFSKIN-AND-FABRIC-SNEAKER?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-open-skate-calfskin-and-fabric-sneaker-YS0F89YPB_6TV,498,SHOES,YS0F89YPB_6TV,OPEN SKATE CALFSKIN AND FABRIC SNEAKER,TRAINERS
GBR,GBP,780,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/7eeab252-b089-4267-a440-84768d43107f/ihqstx/std/500x0/ONE-STUD-NAPPA-LEATHER-LOW-TOP-SNEAKER-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-one-stud-nappa-leather-low-top-sneaker--YS0E71CWA_UZ9,468,SHOES,YS0E71CWA_UZ9,ONE STUD NAPPA LEATHER LOW-TOP SNEAKER ,TRAINERS
GBR,GBP,610,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/ab6ebc33-a1ed-42fc-9cef-212471b158ca/ihqstx/std/500x0/Open-for-a-Change-Sneaker-in-bio-based-material?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-open-for-a-change-sneaker-in-bio-based-material-YS0830PUD_A01,366,SHOES,YS0830PUD_A01,Open for a Change Sneaker in bio-based material,TRAINERS
GBR,GBP,610,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/fc840798-62c9-4d7f-bb7d-8f76a717893b/ihqstx/std/500x0/Open-for-a-Change-Sneaker-in-bio-based-material?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-open-for-a-change-sneaker-in-bio-based-material-YS0830PUD_0BO,366,SHOES,YS0830PUD_0BO,Open for a Change Sneaker in bio-based material,TRAINERS
GBR,GBP,1750,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/a523b264-212c-4478-adc8-bd2c6f034333/ihqstx/std/500x0/LOCÒ-COWHIDE-MESSENGER-BAG?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-loc%C3%B2-cowhide-messenger-bag-YB0B55GDA_0MU,1050,BAGS,YB0B55GDA_0MU,LOCÒ COWHIDE MESSENGER BAG,SHOULDER-BAGS
GBR,GBP,340,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/1a46f262-a8c8-47c6-bbb2-f485b85bccd2/ihqstx/std/500x0/VLTN-WALLET?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-vltn-wallet-YP0P93LVN_0NO,204,ACCESSORIES,YP0P93LVN_0NO,VLTN WALLET,WALLETS-AND-SMALL-LEATHER-GOODS
GBR,GBP,150,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/5c8e7b72-b698-4d0a-833b-a9b2335e915d/ihqstx/std/500x0/ROCKSTUD-METAL-NOSE-RING?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-rockstud-metal-nose-ring-YJ0R02MET_U09,90,ACCESSORIES,YJ0R02MET_U09,ROCKSTUD METAL NOSE RING,JEWELLERY
GBR,GBP,150,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/e1212e8d-0c54-466b-a1b3-46e6fb180e76/ihqstx/std/500x0/VLOGO-SIGNATURE-METAL-LIP-RING?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-vlogo-signature-metal-lip-ring-YJ0R10MET_U09,90,ACCESSORIES,YJ0R10MET_U09,VLOGO SIGNATURE METAL LIP RING,JEWELLERY
GBR,GBP,510,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/94b295d1-74d6-4a1e-aea4-6989350656d4/ihqstx/std/500x0/VLOGO-SIGNATURE-REVERSIBLE-ELK-PRINT-CALFSKIN-BELT-30-MM?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-vlogo-signature-reversible-elk-print-calfskin-belt-30-mm-YT0T47VBC_V0M,306,ACCESSORIES,YT0T47VBC_V0M,VLOGO SIGNATURE REVERSIBLE ELK-PRINT CALFSKIN BELT 30 MM,BELTS
GBR,GBP,380,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/bba2b2dc-7b12-48a8-afb9-c5ec7aba932c/ihqstx/std/500x0/VLogo-Signature-Bucket-Hat-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-vlogo-signature-bucket-hat--YHGA11EPM_0NO,228,ACCESSORIES,YHGA11EPM_0NO,VLogo Signature Bucket Hat ,HATS-AND-GLOVES
